polled_at,chart_id,chart_type,series,label,value,servers_reporting
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T05:30:00+00:00,1,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T06:00:00+00:00,1,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T06:30:00+00:00,1,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T07:00:00+00:00,1,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T07:30:00+00:00,1,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T08:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T08:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T09:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T09:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T10:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T10:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T11:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T11:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T12:00:00+00:00,1,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T12:30:00+00:00,1,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T13:00:00+00:00,1,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T13:30:00+00:00,1,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T14:00:00+00:00,1,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T14:30:00+00:00,1,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T15:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T15:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T16:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T16:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T17:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T17:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T18:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T18:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T19:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T19:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T20:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T20:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T21:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T21:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T22:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T22:30:00+00:00,0,
